,code,rca_arg,rca_bra,rca_deu,rca_chn,pci,cog,description,export,category,id
45,850300,0.04997552211472702,0.7827980346876875,1.1470140059293659,1.6320455114661938,0.5464491450155301,0.01877748108069993,Parts for electric motors and generators,2924019.2,Transportation,850300
46,850490,0.036430186684376656,0.08596633048872218,1.2885428285232063,1.7679437904332478,0.3213831346180078,-0.03665717872632869,Parts of electrical transformers and inductors,1155903.0,Transportation,850490
47,851410,0.14157909618556788,0.09589276933701636,2.4777592633469814,0.8958289248084089,1.871626927285432,0.4261744630835071,Industrial electric resistance heated furnaces & oven,796755.6,Transportation,851410
48,851420,0.006415689899198521,0.2632969265464848,2.417974068411805,0.8009328267355118,1.1890654532313336,0.3021240375579671,"Industrial electric induction, dielectric furnace/ove",12231.2,Transportation,851420
49,851430,0.03375499396642676,0.2875747689967857,1.5004702325752848,1.4022095902218803,1.2534815078004446,0.3048588896512514,Industrial/laboratory electric furnaces and ovens nes,88747.0,Transportation,851430
50,851490,0.04250132959872426,0.19713998169317376,1.5356352644139668,0.8267822344556747,0.8381487265710779,0.32759868038251666,Parts of industrial/etc electric furnaces/ovens nes,213032.8,Transportation,851490
51,854390,0.005630588023869414,0.06381222990161692,0.5947480805286749,1.4055832636519263,0.7663019275832782,0.15514127140251124,Parts of electrical machines and apparatus nes,189883.6,Transportation,854390
52,901580,0.06521992710752146,0.1323551497020112,0.7481644334293424,0.5192398963693535,-0.6466237013764831,0.01627578221569316,"Surveying, etc instruments nes",948910.0,Precision Instruments,901580
53,902610,0.053687454492427615,0.3152683285197411,2.356692705719124,0.4824544946710782,1.3400624520868416,0.33560952158350604,Equipment to measure or check liquid flow or level,984809.4,Precision Instruments,902610
54,902620,0.033377358949336126,0.2264971706627936,2.650112303917049,0.6437487833772376,1.6777281838062588,0.4080147028028903,Equipment to measure or check pressure,1030664.8,Precision Instruments,902620
55,902680,0.037341813831243735,0.059026958968633025,2.7350651615796444,0.29091146287098896,1.2994875886002641,0.27800249385608944,"Equipment to measure, check gas/liquid properties nes",449242.6,Precision Instruments,902680
56,902690,0.03823096442602834,0.1247368804778107,1.5894180183899334,0.7806713322417419,1.3264362184167022,0.3394456456899204,Parts of equipment to measure or check fluid variable,538298.4,Precision Instruments,902690
57,902710,0.023876931679995703,0.3062328717823347,3.7901898085598638,0.20444394111503456,1.817227991425168,0.4599262279232523,Gas/smoke analysis apparatus,462983.8,Precision Instruments,902710
58,902720,0.014027524084766334,0.032372024240635,1.2786357796190897,0.6546903293551731,1.6956546502562568,0.4874123493098079,"Chromatographs, electrophoresis instruments",106725.6,Precision Instruments,902720
59,902750,0.06889551226486362,0.01690055343793121,2.3638181976411032,0.27991445342411675,1.88240414757392,0.42570690261759103,Instruments nes using optical radiations,1828828.4,Precision Instruments,902750
60,902780,0.05353513717331687,0.03708049611826307,2.0752607436454777,0.4512356963569579,2.1042981401328182,0.4548091986397632,"Equipment for physical or chemical analysis, nes",2090315.4,Precision Instruments,902780
61,902790,0.03233111999993072,0.10380934355113286,1.9080304336074605,0.4197378559637555,2.152726835560107,0.49547471652492897,"Microtomes, parts of scientific analysis equipment",1160720.6,Precision Instruments,902790
62,903180,0.09946859311744873,0.1265636061365486,2.5580446953593534,0.7443796098232396,1.3576587887834788,0.31592111385447097,"Measuring or checking equipment, nes",7330645.4,Precision Instruments,903180
